svyear,vsic1993,ER,XR,XSH,ESH,XRS,ERS
2000-2005,2695,2.35897435897436,0.474358974358974,0.213657000046587,0.446948200372019,0.30108369263757,0.20642933713654
2000-2005,2696,4.17948717948718,0.41025641025641,0.197784705666606,0.711128060076863,0.354412981657248,0.392670432911185
2000-2005,2699,2.30952380952381,0.547619047619048,0.522610949676397,0.772002976387215,0.904340157300346,0.802871235915495
2000-2005,2710,2.89189189189189,0.472972972972973,0.245606237236894,0.526895787269772,0.362775429757203,0.208168076360712
2000-2005,2720,2.91666666666667,0.583333333333333,0.0886872821223499,0.494837344197924,0.0695129755308937,0.22389952498414
2000-2005,2731,1.21212121212121,0.454545454545455,0.371701179944663,0.641246815172999,0.709919232212326,0.491543717605214
2000-2005,2732,3.71428571428571,0.642857142857143,0.561579872555482,0.145640033513165,0.711620654610255,0.045894915248406
2000-2005,2811,5.55681818181818,0.397727272727273,0.233424993487952,0.54585345263564,0.461105736546715,0.172055763730042
2000-2005,2812,2.88888888888889,0.444444444444444,0.0478052789183213,0.652079094622387,0.0627567002052049,0.43251149540262
2000-2005,2813,5.33333333333333,,,0.703021667415243,,0.591812255541069
2000-2005,2891,1.83333333333333,0.388888888888889,0.314642298030364,0.622296706213663,0.721430423097168,0.216348997859123
2000-2005,2892,1.92156862745098,0.529411764705882,0.0978038915736652,0.644918349768848,0.0963613029339764,0.315064411843319
2000-2005,2893,1.52631578947368,0.526315789473684,0.362145693270727,0.423808907845644,0.510980517815945,0.228269586645432
2000-2005,2899,2.93518518518519,0.521604938271605,0.476116436176754,0.556215503145763,0.833534143974253,0.202960333086488
2000-2005,2911,5.66666666666667,0.666666666666667,0.941421031262688,0.147966361617139,8.03548655392293,0.0612926760102389
2000-2005,2912,1.44827586206897,0.448275862068966,0.304161297500944,0.748165137614679,0.537987273215112,0.919550698239223
2000-2005,2913,2.0625,0.5,0.383179136765305,0.257173708884487,0.621216238951224,0.0419648188906519
2000-2005,2914,12,,,1,,
2000-2005,2915,2.18181818181818,0.545454545454545,0.567555541084666,0.445725517335726,1.09369640691011,0.201040067365731
2000-2005,2919,3.625,0.625,0.829308099375196,0.405821738923976,2.91510527332432,0.0706548218761919
2000-2005,2921,1.57142857142857,0.428571428571429,0.177594474159679,0.252458390612827,0.287926849677907,0.190350246016612
2000-2005,2922,2.27777777777778,0.444444444444444,0.336801773616679,0.602107343479802,0.634806005614248,0.332174777544779
2000-2005,2924,2.25,0.5,0.255776346261346,0.606688306992159,0.343682097413107,0.428475767987616
2000-2005,2925,1.61111111111111,0.611111111111111,0.0489613851251958,0.752687381559171,0.032761282867333,0.839576644613585
2000-2005,2926,2.33333333333333,0.333333333333333,0.0818013155675494,0.778053691275168,0.178177810433505,1.00159834118104
2000-2005,2929,3.07894736842105,0.447368421052632,0.0528214637981299,0.644403309677208,0.068888853601968,0.340750789867324
2000-2005,2930,2.04,0.58,0.221736529266492,0.563642846550838,0.206315518556294,0.303929579700833
2000-2005,3000,7.66666666666667,0.666666666666667,0.0041259008391288,0.476532496109129,0.00207149721164819,0.0791598486043828
2000-2005,3110,1.40740740740741,0.296296296296296,0.065940987927697,0.0763565757110895,0.167665901516036,0.0369834503387001
2000-2005,3120,1.61538461538462,0.5,0.149943078473195,0.269727896380182,0.176391809390692,0.149499859798973
2000-2005,3130,1.52830188679245,0.339622641509434,0.0561194185780327,0.283167117838003,0.115609001633571,0.156059374202157
2000-2005,3140,1.11764705882353,0.470588235294118,0.0468789547668772,0.0494917889634126,0.0553327663642529,0.0191832293238533
2000-2005,3150,2.15384615384615,0.384615384615385,0.103465042344581,0.380044142576558,0.184648759468625,0.197041522175253
2000-2005,3190,2.70731707317073,0.463414634146342,0.449140143737166,0.243109115382347,0.944082242743125,0.0810220114214063
2000-2005,3210,1.94117647058824,0.529411764705882,0.168205781638678,0.314208156092315,0.179751490266482,0.0971872376738922
2000-2005,3220,0.827586206896552,0.551724137931035,0.425523401106824,0.405480862739574,0.601830891050072,0.397851790532254
2000-2005,3230,2.16666666666667,0.5,0.22713246757443,0.494514573981544,0.293882791093057,0.26338749308277
2000-2005,3311,1.42307692307692,0.423076923076923,0.379857798364563,0.409474456478901,0.835272789845185,0.281110884792837
2000-2005,3312,2.57142857142857,0.571428571428571,0.570823288772007,0.578225681736172,0.997531914893617,0.152326244601972
2000-2005,3313,0.5,,,0.0482528439228999,,0.0506992257500279
2000-2005,3320,1.2,,,0.216621761709927,,0.184348378277447
2000-2005,3330,1.66666666666667,0.333333333333333,0.342973602484472,0.118393643823277,1.04401772525849,0.0402879277107472
2000-2005,3410,0.456521739130435,0.586956521739131,0.171093399606495,0.288956103484551,0.145250452735196,0.367679795667271
2000-2005,3420,1.4,0.6,0.806597020426099,0.814838213199458,2.78036743867878,0.419112607915825
2000-2005,3430,2.09090909090909,0.254545454545455,0.0244458414854141,0.590489045973195,0.0733853597944552,0.288387424154004
2000-2005,3511,1.375,0.519736842105263,0.364427154380888,0.565947902403218,0.529835635642568,0.399271474072222
2000-2005,3512,4.4,0.6,0.105942577342533,0.678360758966191,0.0789975935607004,0.479334857492832
2000-2005,3520,0.333333333333333,0.555555555555556,0.011196882008551,0.0199278325223862,0.00905893746071119,0.0271107008696771
2000-2005,3530,0.4,0.8,0.764678433202492,0.898331326337519,0.812376064388196,4.41793570219966
2000-2005,3591,2.10169491525424,0.406779661016949,0.411670807850089,0.410566466480212,1.02043765541227,0.24154352817612
2000-2005,3592,0.805555555555556,0.333333333333333,0.149652691093325,0.806397909959286,0.351980160402318,2.87257482349564
2000-2005,3599,1.90909090909091,0.318181818181818,0.00641075916346413,0.414150095514085,0.0138259760673335,0.218809142574932
2000-2005,3610,2.82673267326733,0.51980198019802,0.269167438055764,0.639059339755236,0.340241329852375,0.325580637182702
2000-2005,3691,1.02702702702703,0.405405405405405,0.0136064073898302,0.2093186743009,0.0202313400261894,0.118432751318652
2000-2005,3692,2.33333333333333,,,0.391066828531667,,0.0917451904541934
2000-2005,3693,2.45454545454545,0.454545454545455,0.391640745484487,0.447858340114902,0.77251869038412,0.270376470782337
2000-2005,3694,1.20689655172414,0.413793103448276,0.0930464639335395,0.622972219366376,0.145339114589646,0.849766858767173
2000-2005,3699,2.61052631578947,0.410526315789474,0.0922482373668666,0.472525200994214,0.145919857117011,0.184222111379261
2000-2005,3710,10.5,1,1,1,,
2000-2005,3720,2.33333333333333,0.833333333333333,0.985592094336489,0.636880085981882,13.6812680115274,0.375838115372999
2000-2005,4010,1.4,0.65,0.889514374348647,0.942789037100769,4.33512753963899,1.7656250830083
2000-2005,4020,2,,,0.419037263430116,,0.360640396580505
2000-2005,4100,1.04587155963303,0.422018348623853,0.611915624188171,0.423373127626068,2.15947460681272,0.450839126677543
2000-2005,4510,5.86666666666667,0.616666666666667,0.544527270367607,0.945851807811498,0.743161780720215,1.01730302088865
2000-2005,4520,2.84059715868047,0.535757283891163,0.47891478284938,0.525767910973594,0.796391295085424,0.181473758300706
2000-2005,4530,6.33333333333333,0.419753086419753,0.232479137959768,0.402816057145813,0.418709426694397,0.111763556405211
2000-2005,4540,6.69230769230769,0.615384615384615,0.105711168620287,0.885526177120348,0.0738793531456132,0.400118358719162
2000-2005,4550,5.28571428571429,0.285714285714286,0.0438396650452558,0.96697926297715,0.114624251400605,0.791459459459459
2000-2005,5010,1.9020979020979,0.573426573426573,0.493824841646752,0.594485642850089,0.725751744409949,0.207504233296365
2000-2005,5020,3.08396946564886,0.458015267175573,0.261133252051718,0.473766286968691,0.418218416856084,0.160448853060022
2000-2005,5030,3.50434782608696,0.626086956521739,0.113211023876404,0.666480586138697,0.0762437751031489,0.208262284874347
2000-2005,5040,1.49757986447241,0.636979670861568,0.371280706223414,0.56297124292951,0.336551063818617,0.331412553230462
2000-2005,5050,1.87179487179487,0.46063877642825,0.301864784040338,0.512824747627592,0.506281585413575,0.296492459051925
2000-2005,5110,24.0769230769231,0.576923076923077,0.390566680047782,0.778251276349156,0.469970308467593,0.0322368222284515
2000-2005,5121,2.27433628318584,0.586283185840708,0.453138516796061,0.542565948356171,0.584721920594154,0.223837403027199
2000-2005,5122,2.27018943170489,0.558325024925224,0.439528096583543,0.557375146446751,0.620366725151016,0.259371118870867
2000-2005,5131,5.4017094017094,0.683760683760684,0.427857562441713,0.781935143774078,0.345865137139268,0.283686049406202
2000-2005,5139,1.8270202020202,0.526515151515152,0.414546953271196,0.591058367321144,0.636761606774221,0.203266086478788
2000-2005,5141,1.90598290598291,0.487179487179487,0.291025329988223,0.260023651992364,0.432092239083935,0.120808288954661
2000-2005,5142,8.26285714285714,0.725714285714286,0.665900187672657,0.620164040457726,0.753304257597995,0.315026010492737
2000-2005,5143,4.36271186440678,0.529943502824859,0.384185012727532,0.657205617003809,0.553363682045494,0.209546407180808
2000-2005,5149,3.81649484536083,0.505154639175258,0.419831750776317,0.534643557155257,0.708869808737073,0.197998942554146
2000-2005,5150,3.99416909620991,0.565597667638484,0.443443386959788,0.501819473709858,0.611946385202228,0.117151226097575
2000-2005,5190,0.899363057324841,0.499363057324841,0.413797295524363,0.4765116884645,0.707695303523338,0.121196400440322
2000-2005,5211,0.341463414634146,0.524390243902439,0.310676260214604,0.579045314238918,0.408771853807128,0.294761272323516
2000-2005,5219,0.701219512195122,0.481707317073171,0.382567095912359,0.484304466720008,0.666668105944353,0.187825736492102
2000-2005,5231,0.471230158730159,0.569444444444445,0.521206693181933,0.714178694487092,0.823075644264941,0.289321941913118
2000-2005,5232,0.0586614811213742,0.675903419218927,0.592399902147957,0.43750065458893,0.696900063891855,0.199816369431532
2000-2005,5234,834,0.5,0.13343937787204,0.834979345202791,0.153987354680808,0.357950841288172
2000-2005,5239,816.333333333333,0.666666666666667,0.868265722257995,0.538690693872785,3.29551934826884,0.520930658247475
2000-2005,5260,2.15686274509804,0.529411764705882,0.574213622441538,0.95148152853654,1.1987516175687,1.4262332372312
2000-2005,5510,1.49215317011927,0.529190207156309,0.335487594856919,0.296530056102113,0.449166193993857,0.139030490189048
2000-2005,5520,3,0.635974304068523,0.224223748919432,0.611818684574786,0.165438887577166,0.20474879818342
2000-2005,6010,3,,,0.862063163940511,,2.08323168914967
2000-2005,6020,2.49328558639212,0.516562220232766,0.377254448446042,0.651750799886496,0.566945982650531,0.327933714097301
2000-2005,6110,2.90425531914894,0.531914893617021,0.070309657406478,0.266373467128242,0.0665517276914991,0.0744802822110373
2000-2005,6120,1.17204301075269,0.566308243727599,0.811948675370632,0.438408345277607,3.30659088374282,0.236344559147934
2000-2005,6200,0.75,0.5,0.87991420447313,0.872673821687939,7.32737956735475,4.56922963921904
2000-2005,6301,0.377969762419006,0.483801295896328,0.247991342621694,0.497150331262754,0.351854866493344,0.259877899441341
2000-2005,6304,668,,,0.42394846443041,,0.0804263066748002
2000-2005,6309,529.5,,,0.669772838711883,,0.411772406176768
2000-2005,6410,15.5,0.666666666666667,0.99245629819576,0.949672033199156,65.7804565947931,0.811598630964719
2000-2005,6511,0.666666666666667,,,1,,
2000-2005,6519,3.33333333333333,0.773333333333333,0.897905606949787,0.899847077019428,2.57780296998067,6.00180034251803
2000-2005,6591,1.25,0.25,0.304946498770207,0.471558483305459,1.31621449959169,0.535414196358122
2000-2005,6592,0.297930283224401,0.71677559912854,0.987178473068899,0.252147091927078,30.4230941735367,0.13128951803493
2000-2005,6599,0.407407407407407,0.148148148148148,0.0206722760066339,0.146581068753307,0.121374677879486,0.351322079205632
